"data","word"
" 04/04/2024","assuntos"
" 04/04/2024","corporativos"
" 04/04/2024","petrobras"
" 04/04/2024","clarice"
" 04/04/2024","copetti"
" 04/04/2024","tornouse"
" 04/04/2024","alternativa"
" 04/04/2024","assumir"
" 04/04/2024","comando"
" 04/04/2024","estatal"
" 04/04/2024","nome"
" 04/04/2024","clarice"
" 04/04/2024","bruno"
" 04/04/2024","moretti"
" 04/04/2024","subchefe"
" 04/04/2024","análise"
" 04/04/2024","governamental"
" 04/04/2024","casa"
" 04/04/2024","civil"
" 04/04/2024","viraram"
" 04/04/2024","opções"
" 04/04/2024","colocadas"
" 04/04/2024","sobre"
" 04/04/2024","mesa"
" 04/04/2024","presidente"
" 04/04/2024","luiz"
" 04/04/2024","inácio"
" 04/04/2024","lula"
" 04/04/2024","silva"
" 04/04/2024","pt"
" 04/04/2024","caso"
" 04/04/2024","jean"
" 04/04/2024","paul"
" 04/04/2024","prates"
" 04/04/2024","deixe"
" 04/04/2024","petrobras"
" 04/04/2024","leia"
" 04/04/2024","além"
" 04/04/2024","clarice"
" 04/04/2024","moretti"
" 04/04/2024","cotados"
" 04/04/2024","opções"
" 04/04/2024","é"
" 04/04/2024","forte"
" 04/04/2024","nome"
" 04/04/2024","aloizio"
" 04/04/2024","mercadante"
" 04/04/2024","cargo"
" 04/04/2024","conforme"
" 04/04/2024","antecipou"
" 04/04/2024","cedo"
" 04/04/2024","âncora"
" 04/04/2024","raquel"
" 04/04/2024","landim"
" 04/04/2024","clarice"
" 04/04/2024","além"
" 04/04/2024","graduada"
